for_profit_hotel_id,address_number_july,address_street_july,block_lot_july,cofu_residential,cofu_tourist,reported_occupied_residential_july,reported_occupied_tourist_july,vacant_residential_july,vacant_tourist_july,total_reported_hotel_units_july,aaur_filing_received_july,aaur_sufficient_july,address_number_august,address_street_august,block_lot_august,reported_occupied_residential_august,reported_occupied_tourist_august,vacant_residential_august,vacant_tourist_august,total_reported_hotel_units_august,average_rent_dollars,aaur_filing_received_august,aaur_sufficient_august,became_compliant
1,479,03RD ST,3763 022 00,19,0,16,1,1,1,19,TRUE,FALSE,479,03RD ST,3763 022 00,16,1,1,1,19,525,TRUE,FALSE,FALSE
2,2342,03RD ST,4108 003A 01,18,0,NA,NA,NA,NA,NA,FALSE,FALSE,2342,03RD ST,4108 003A 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
3,3900,03RD ST,5242 021 01,19,0,19,0,0,0,19,TRUE,TRUE,3900,03RD ST,5242 021 01,19,0,0,0,19,1067,TRUE,TRUE,FALSE
4,4544,03RD ST,5296 031,17,0,0,0,17,0,17,TRUE,TRUE,4544,03RD ST,5296 031,0,0,17,0,17,0,TRUE,TRUE,FALSE
5,54,04TH ST,3705 004 01,81,87,13,46,68,41,168,TRUE,FALSE,54,04TH ST,3705 004 01,13,46,68,41,168,875.98,TRUE,TRUE,TRUE
6,44,05TH ST,3704 003 01,70,0,52,0,18,0,70,TRUE,FALSE,44,05TH ST,3704 003 01,52,0,18,0,70,750,TRUE,TRUE,TRUE
7,20,06TH ST,3703 002 01,43,15,NA,NA,NA,NA,NA,TRUE,FALSE,20,06TH ST,3703 002 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
8,37,06TH ST,3704 053 01,10,6,5,4,5,2,16,TRUE,FALSE,37,06TH ST,3704 053 01,5,4,5,2,16,500,TRUE,FALSE,FALSE
9,41,06TH ST,3704 052 01,14,0,13,0,1,0,14,TRUE,FALSE,41,06TH ST,3704 052 01,13,0,1,0,14,NA,TRUE,FALSE,FALSE
10,42,06TH ST,3703 005 01,21,7,19,5,2,2,28,TRUE,TRUE,42,06TH ST,3703 005 01,19,5,2,2,28,950,TRUE,TRUE,FALSE
11,45,06TH ST,3704 051 01,15,0,9,0,6,0,15,TRUE,FALSE,45,06TH ST,3704 051 01,9,0,6,0,15,700,TRUE,TRUE,TRUE
12,48,06TH ST,3703 006 01,41,0,41,0,0,0,44,TRUE,FALSE,48,06TH ST,3703 006 01,41,0,0,0,44,675,TRUE,TRUE,TRUE
13,68,06TH ST,3703 027 01,29,0,29,0,10,0,29,TRUE,TRUE,68,06TH ST,3703 027 01,29,0,10,0,29,623.79,TRUE,TRUE,FALSE
14,93,06TH ST,3704 025 01,29,0,NA,NA,NA,NA,NA,FALSE,FALSE,93,06TH ST,3704 025 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
15,102,06TH ST,3726 001 01,14,0,13,0,1,0,14,TRUE,TRUE,102,06TH ST,3726 001 01,13,0,1,0,14,500,TRUE,TRUE,FALSE
16,106,06TH ST,3726 002 01,100,21,NA,NA,NA,NA,NA,FALSE,FALSE,106,06TH ST,3726 002 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
17,135,06TH ST,3725 064 01,21,30,NA,NA,NA,NA,NA,FALSE,FALSE,135,06TH ST,3725 064 01,22,6,0,23,51,900,TRUE,TRUE,TRUE
18,136,06TH ST,3726 005 01,12,0,NA,NA,NA,NA,NA,FALSE,FALSE,136,06TH ST,3726 005 01,1,0,9,0,10,983.33,TRUE,TRUE,TRUE
19,149,06TH ST,3725 063 01,51,0,0,0,0,0,0,TRUE,TRUE,149,06TH ST,3725 063 01,0,0,0,0,0,0,TRUE,TRUE,FALSE
20,152,06TH ST,3726 008 01,15,0,14,0,1,0,15,TRUE,TRUE,152,06TH ST,3726 008 01,14,0,1,0,15,500,TRUE,TRUE,FALSE
21,170,06TH ST,3726 009 01,25,0,23,0,2,0,25,TRUE,TRUE,170,06TH ST,3726 009 01,23,0,2,0,25,692,TRUE,TRUE,FALSE
22,219,06TH ST,3732 123 01,19,0,19,0,0,0,19,TRUE,FALSE,219,06TH ST,3732 123 01,19,0,0,0,19,1450,TRUE,FALSE,FALSE
23,226,06TH ST,3731 003 01,11,30,11,30,5,0,41,TRUE,TRUE,226,06TH ST,3731 003 01,11,30,5,0,41,20,TRUE,TRUE,FALSE
24,219,07TH ST,3731 041,22,0,NA,NA,NA,NA,NA,FALSE,FALSE,219,07TH ST,3731 041,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
25,80,09TH ST,3508 018 01,21,6,NA,NA,NA,NA,NA,TRUE,FALSE,80,09TH ST,3508 018 01,11,4,10,2,27,1100,TRUE,TRUE,TRUE
26,81,09TH ST,3701 023 01,20,0,20,0,NA,0,20,TRUE,TRUE,81,09TH ST,3701 023 01,20,0,NA,0,20,1441,TRUE,TRUE,FALSE
27,205,09TH ST,3729 082 01,32,0,9,0,23,0,32,TRUE,FALSE,205,09TH ST,3729 082 01,9,0,23,0,32,492.28,TRUE,TRUE,TRUE
28,251,09TH ST,3729 057 01,16,4,NA,NA,NA,NA,NA,TRUE,FALSE,251,09TH ST,3729 057 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
29,120,10TH ST,3510 059 01,8,0,NA,NA,NA,NA,NA,FALSE,FALSE,120,10TH ST,3510 059 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
30,311,11TH AV,1443 001 01,14,0,14,0,0,0,14,TRUE,TRUE,311,11TH AV,1443 001 01,14,0,0,0,14,511.47,TRUE,TRUE,FALSE
31,20,12TH ST,3505 001 01,71,85,NA,NA,NA,NA,NA,FALSE,FALSE,20,12TH ST,3505 001 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
32,215,14TH ST,3548 088 01,13,0,13,0,0,0,13,TRUE,TRUE,215,14TH ST,3548 088 01,13,0,0,0,13,800,TRUE,TRUE,FALSE
33,3032,16TH ST,3554 012 01,18,3,NA,NA,NA,NA,NA,FALSE,FALSE,3032,16TH ST,3554 012 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
34,3061,16TH ST,3569 078 01,20,5,0,0,20,5,25,TRUE,TRUE,3061,16TH ST,3569 078 01,0,0,20,5,25,0,TRUE,TRUE,FALSE
35,3143,16TH ST,3568 064 02,20,0,NA,NA,NA,NA,NA,FALSE,FALSE,3143,16TH ST,3568 064 02,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
36,3161,16TH ST,3568 061 01,54,0,54,0,0,0,54,TRUE,TRUE,3161,16TH ST,3568 061 01,54,0,0,0,54,760,TRUE,TRUE,FALSE
37,3444,18TH ST,3576 034 01,14,0,NA,NA,NA,NA,NA,FALSE,FALSE,3444,18TH ST,3576 034 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
38,3491,20TH ST,3610 029 01,41,0,0,0,1,0,41,TRUE,TRUE,3491,20TH ST,3610 029 01,0,0,1,0,41,1533.13,TRUE,TRUE,FALSE
39,3562,20TH ST,3596 054 01,22,0,18,0,4,0,22,TRUE,FALSE,3562,20TH ST,3596 054 01,18,0,4,0,22,409.09,TRUE,TRUE,TRUE
40,3270,21ST ST,3609 023 01,11,0,NA,NA,NA,NA,NA,FALSE,FALSE,3270,21ST ST,3609 023 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
41,732,22ND ST,4108 020 01,31,0,29,0,1,0,30,TRUE,FALSE,732,22ND ST,4108 020 01,29,0,1,0,30,1057,TRUE,TRUE,TRUE
42,3414,25TH ST,6516 009 01,20,0,20,0,0,0,20,TRUE,FALSE,3414,25TH ST,6516 009 01,20,0,0,0,20,484.25,TRUE,FALSE,FALSE
43,55,30TH ST,6660 044 01,26,0,24,0,2,0,26,TRUE,TRUE,55,30TH ST,6660 044 01,24,0,2,0,26,500,TRUE,TRUE,FALSE
44,3429,ANZA ST,1568 028 01,9,0,NA,NA,NA,NA,NA,TRUE,FALSE,3429,ANZA ST,1568 028 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
45,3433,ANZA ST,1568 027 01,9,0,9,0,0,0,9,TRUE,TRUE,3433,ANZA ST,1568 027 01,9,0,0,0,9,715.88,TRUE,TRUE,FALSE
46,949,ASHBURY ST,1269 030 1,9,0,7,0,2,0,9,TRUE,TRUE,949,ASHBURY ST,1269 030 1,7,0,2,0,9,1148,TRUE,TRUE,FALSE
